"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Monroe County, AL"	"01099"	62	21067	294.3
	"Montgomery County, AL"	"01101"	421	225763	186.5
	"Morgan County, AL"	"01103"	376	119089	315.7
	"Perry County, AL"	"01105"	35	9140	382.9
	"Pickens County, AL"	"01107"	65	19938	326.0
	"Pike County, AL"	"01109"	87	33338	261.0
	"Randolph County, AL"	"01111"	94	22725	413.6
	"Russell County, AL"	"01113"	119	57781	206.0
	"St. Clair County, AL"	"01115"	230	88690	259.3
	"Shelby County, AL"	"01117"	346	215707	160.4
	"Sumter County, AL"	"01119"	38	12691	299.4
	"Talladega County, AL"	"01121"	269	79828	337.0
	"Tallapoosa County, AL"	"01123"	133	40497	328.4
	"Tuscaloosa County, AL"	"01125"	482	208911	230.7
	"Walker County, AL"	"01127"	326	63711	511.7
	"Washington County, AL"	"01129"	44	16378	268.7
	"Wilcox County, AL"	"01131"	45	10627	423.4
	"Winston County, AL"	"01133"	67	23660	283.2
	"Anchorage Borough, AK"	"02020"	300	291538	102.9
	"Bethel Census Area, AK"	"02050"	23	18216	126.3
	"Fairbanks North Star Borough, AK"	"02090"	93	98971	94.0
	"Juneau Borough, AK"	"02110"	37	32113	115.2
	"Kenai Peninsula Borough, AK"	"02122"	101	58533	172.6
	"Ketchikan Gateway Borough, AK"	"02130"	20	13918	143.7
	"Kodiak Island Borough, AK"	"02150"	14	13345	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	96	107610	89.2
	"Nome Census Area, AK"	"02180"	12	10008	Unreliable
	"Northwest Arctic Borough, AK"	"02188"	12	7671	Unreliable
	"Prince of Wales-Hyder Census Area, AK"	"02198"	10	6422	Unreliable
	"Sitka Borough, AK"	"02220"	12	8647	Unreliable
	"Southeast Fairbanks Census Area, AK"	"02240"	15	6918	Unreliable
	"Valdez-Cordova Census Area, AK"	"02261"	11	9164	Unreliable
	"Apache County, AZ"	"04001"	106	71818	147.6
	"Cochise County, AZ"	"04003"	331	126770	261.1
	"Coconino County, AZ"	"04005"	134	142854	93.8
	"Gila County, AZ"	"04007"	202	53889	374.8
	"Graham County, AZ"	"04009"	67	38072	176.0
	"Greenlee County, AZ"	"04011"	19	9483	Unreliable
	"La Paz County, AZ"	"04012"	92	21098	436.1
	"Maricopa County, AZ"	"04013"	6612	4410824	149.9
	"Mohave County, AZ"	"04015"	871	209550	415.7
	"Navajo County, AZ"	"04017"	204	110445	184.7
	"Pima County, AZ"	"04019"	2015	1039073	193.9
	"Pinal County, AZ"	"04021"	673	447138	150.5
	"Santa Cruz County, AZ"	"04023"	55	46511	118.3
	"Yavapai County, AZ"	"04025"	687	231993	296.1
	"Yuma County, AZ"	"04027"	387	212128	182.4
	"Arkansas County, AR"	"05001"	53	17769	298.3
	"Ashley County, AR"	"05003"	62	20046	309.3
	"Baxter County, AR"	"05005"	151	41619	362.8
	"Benton County, AR"	"05007"	500	272608	183.4
	"Boone County, AR"	"05009"	162	37480	432.2
	"Bradley County, AR"	"05011"	44	10897	403.8
	"Calhoun County, AR"	"05013"	22	5277	416.9
	"Carroll County, AR"	"05015"	93	28223	329.5
	"Chicot County, AR"	"05017"	33	10438	316.2
	"Clark County, AR"	"05019"	50	22061	226.6
	"Clay County, AR"	"05021"	54	14847	363.7
	"Cleburne County, AR"	"05023"	62	24965	248.3
	"Cleveland County, AR"	"05025"	20	8018	249.4
	"Columbia County, AR"	"05027"	66	23537	280.4
	"Conway County, AR"	"05029"	74	20891	354.2
	"Craighead County, AR"	"05031"	259	108558	238.6
	"Crawford County, AR"	"05033"	140	63406	220.8
	"Crittenden County, AR"	"05035"	97	48342	200.7
	"Cross County, AR"	"05037"	50	16676	299.8
	"Dallas County, AR"	"05039"	23	7182	320.2
	"Desha County, AR"	"05041"	72	11512	625.4
	"Drew County, AR"	"05043"	43	18328	234.6
	"Faulkner County, AR"	"05045"	242	124806	193.9
	"Franklin County, AR"	"05047"	59	17810	331.3
	"Fulton County, AR"	"05049"	40	12269	326.0
	"Garland County, AR"	"05051"	365	99154	368.1
	"Grant County, AR"	"05053"	47	18188	258.4
	"Greene County, AR"	"05055"	100	45325	220.6
	"Hempstead County, AR"	"05057"	74	21741	340.4
	"Hot Spring County, AR"	"05059"	103	33701	305.6
	"Howard County, AR"	"05061"	62	13341	464.7
	"Independence County, AR"	"05063"	115	37678	305.2
	"Izard County, AR"	"05065"	43	13593	316.3
	"Jackson County, AR"	"05067"	53	16811	315.3
	"Jefferson County, AR"	"05069"	211	68114	309.8
	"Johnson County, AR"	"05071"	64	26742	239.3
	"Lafayette County, AR"	"05073"	25	6682	374.1
	"Lawrence County, AR"	"05075"	48	16434	292.1
	"Lee County, AR"	"05077"	26	8985	289.4
	"Lincoln County, AR"	"05079"	39	13383	291.4
	"Little River County, AR"	"05081"	37	12326	300.2
	"Logan County, AR"	"05083"	69	21737	317.4
	"Lonoke County, AR"	"05085"	98	73657	133.0
	"Madison County, AR"	"05087"	83	16481	503.6
	"Marion County, AR"	"05089"	63	16722	376.7
	"Miller County, AR"	"05091"	117	43592	268.4
	"Mississippi County, AR"	"05093"	129	41239	312.8
	"Monroe County, AR"	"05095"	45	6900	652.2
	"Montgomery County, AR"	"05097"	23	8924	257.7
	"Nevada County, AR"	"05099"	26	8326	312.3
	"Newton County, AR"	"05101"	36	7805	461.2
	"Ouachita County, AR"	"05103"	77	23606	326.2
	"Perry County, AR"	"05105"	38	10352	367.1
	"Phillips County, AR"	"05107"	53	18029	294.0
	"Pike County, AR"	"05109"	34	10673	318.6
	"Poinsett County, AR"	"05111"	87	23974	362.9
	"Polk County, AR"	"05113"	78	20049	389.0
	"Pope County, AR"	"05115"	176	64000	275.0
	"Prairie County, AR"	"05117"	35	8074	433.5
	"Pulaski County, AR"	"05119"	805	392680	205.0
	"Randolph County, AR"	"05121"	46	17948	256.3
	"St. Francis County, AR"	"05123"	73	25439	287.0
	"Saline County, AR"	"05125"	269	121421	221.5
	"Scott County, AR"	"05127"	36	10319	348.9
	"Searcy County, AR"	"05129"	24	7958	301.6
	"Sebastian County, AR"	"05131"	309	127753	241.9
	"Sevier County, AR"	"05133"	29	17139	169.2
	"Sharp County, AR"	"05135"	67	17366	385.8
	"Stone County, AR"	"05137"	42	12457	337.2
	"Union County, AR"	"05139"	128	39126	327.1
	"Van Buren County, AR"	"05141"	48	16603	289.1
	"Washington County, AR"	"05143"	786	236961	331.7
	"White County, AR"	"05145"	249	78727	316.3
	"Woodruff County, AR"	"05147"	31	6490	477.7
	"Yell County, AR"	"05149"	79	21535	366.8
	"Alameda County, CA"	"06001"	2019	1666753	121.1
	"Amador County, CA"	"06005"	103	39383	261.5
	"Butte County, CA"	"06007"	564	231256	243.9
	"Calaveras County, CA"	"06009"	120	45602	263.1
	"Colusa County, CA"	"06011"	33	21627	152.6
	"Contra Costa County, CA"	"06013"	1529	1150215	132.9
	"Del Norte County, CA"	"06015"	57	27828	204.8
	"El Dorado County, CA"	"06017"	352	190678	184.6
	"Fresno County, CA"	"06019"	1613	994400	162.2
	"Glenn County, CA"	"06021"	66	28047	235.3
	"Humboldt County, CA"	"06023"	290	136373	212.7
	"Imperial County, CA"	"06025"	251	181827	138.0
	"Inyo County, CA"	"06027"	41	17987	227.9
	"Kern County, CA"	"06029"	1471	896764	164.0
	"Kings County, CA"	"06031"	215	151366	142.0
	"Lake County, CA"	"06033"	168	64382	260.9
	"Lassen County, CA"	"06035"	54	30802	175.3
	"Los Angeles County, CA"	"06037"	16733	10105518	165.6
	"Madera County, CA"	"06039"	226	157672	143.3
	"Marin County, CA"	"06041"	390	259666	150.2
	"Mariposa County, CA"	"06043"	47	17471	269.0
	"Mendocino County, CA"	"06045"	171	87606	195.2
	"Merced County, CA"	"06047"	365	274765	132.8
	"Modoc County, CA"	"06049"	28	8777	319.0
	"Mono County, CA"	"06051"	12	14250	Unreliable
	"Monterey County, CA"	"06053"	503	435594	115.5
	"Napa County, CA"	"06055"	257	139417	184.3
	"Nevada County, CA"	"06057"	267	99696	267.8
	"Orange County, CA"	"06059"	4928	3185968	154.7
	"Placer County, CA"	"06061"	752	393149	191.3
	"Plumas County, CA"	"06063"	53	18804	281.9
	"Riverside County, CA"	"06065"	4684	2450758	191.1
	"Sacramento County, CA"	"06067"	2509	1540975	162.8
	"San Benito County, CA"	"06069"	75	61537	121.9
	"San Bernardino County, CA"	"06071"	3510	2171603	161.6
	"San Diego County, CA"	"06073"	4699	3343364	140.5
	"San Francisco County, CA"	"06075"	1203	883305	136.2
	"San Joaquin County, CA"	"06077"	1167	752660	155.1
	"San Luis Obispo County, CA"	"06079"	481	284010	169.4
	"San Mateo County, CA"	"06081"	1105	769545	143.6
	"Santa Barbara County, CA"	"06083"	697	446527	156.1
	"Santa Clara County, CA"	"06085"	2072	1937570	106.9
	"Santa Cruz County, CA"	"06087"	328	274255	119.6
	"Shasta County, CA"	"06089"	517	180040	287.2
	"Sierra County, CA"	"06091"	10	2987	Unreliable
	"Siskiyou County, CA"	"06093"	118	43724	269.9
	"Solano County, CA"	"06095"	641	446610	143.5
	"Sonoma County, CA"	"06097"	909	499942	181.8
	"Stanislaus County, CA"	"06099"	1039	549815	189.0
	"Sutter County, CA"	"06101"	160	96807	165.3
	"Tehama County, CA"	"06103"	184	63916	287.9
	"Trinity County, CA"	"06105"	33	12535	263.3
	"Tulare County, CA"	"06107"	762	465861	163.6
	"Tuolumne County, CA"	"06109"	151	54539	276.9
	"Ventura County, CA"	"06111"	1385	850967	162.8
	"Yolo County, CA"	"06113"	267	220408	121.1
	"Yuba County, CA"	"06115"	158	78041	202.5
	"Adams County, CO"	"08001"	554	511868	108.2
	"Alamosa County, CO"	"08003"	34	16683	203.8
	"Arapahoe County, CO"	"08005"	744	651215	114.2
	"Archuleta County, CO"	"08007"	18	13765	Unreliable
	"Bent County, CO"	"08011"	15	5882	Unreliable
	"Boulder County, CO"	"08013"	327	326078	100.3
	"Broomfield County, CO"	"08014"	73	69267	105.4
	"Chaffee County, CO"	"08015"	28	20027	139.8
	"Clear Creek County, CO"	"08019"	17	9605	Unreliable
	"Conejos County, CO"	"08021"	17	8200	Unreliable
	"Custer County, CO"	"08027"	10	4954	Unreliable
	"Delta County, CO"	"08029"	102	30953	329.5
	"Denver County, CO"	"08031"	898	716492	125.3
	"Douglas County, CO"	"08035"	223	342776	65.1
	"Eagle County, CO"	"08037"	19	54993	Unreliable
	"Elbert County, CO"	"08039"	33	26282	125.6
	"El Paso County, CO"	"08041"	928	713856	130.0
	"Fremont County, CO"	"08043"	115	48021	239.5
	"Garfield County, CO"	"08045"	75	59770	125.5
	"Grand County, CO"	"08049"	15	15525	Unreliable
	"Gunnison County, CO"	"08051"	13	17246	Unreliable
	"Huerfano County, CO"	"08055"	25	6889	362.9
	"Jefferson County, CO"	"08059"	950	580233	163.7
	"Kit Carson County, CO"	"08063"	17	7163	Unreliable
	"La Plata County, CO"	"08067"	75	56310	133.2
	"Larimer County, CO"	"08069"	456	350518	130.1
	"Las Animas County, CO"	"08071"	35	14503	241.3
	"Lincoln County, CO"	"08073"	20	5610	356.5
	"Logan County, CO"	"08075"	37	21528	171.9
	"Mesa County, CO"	"08077"	362	153207	236.3
	"Moffat County, CO"	"08081"	20	13188	151.7
	"Montezuma County, CO"	"08083"	47	26158	179.7
	"Montrose County, CO"	"08085"	95	42214	225.0
	"Morgan County, CO"	"08087"	43	28558	150.6
	"Otero County, CO"	"08089"	67	18432	363.5
	"Park County, CO"	"08093"	30	18556	161.7
	"Prowers County, CO"	"08099"	22	12164	180.9
	"Pueblo County, CO"	"08101"	259	167529	154.6
	"Rio Blanco County, CO"	"08103"	10	6336	Unreliable
	"Rio Grande County, CO"	"08105"	19	11250	Unreliable
	"Routt County, CO"	"08107"	24	25733	93.3
	"Saguache County, CO"	"08109"	11	6843	Unreliable
	"Sedgwick County, CO"	"08115"	12	2303	Unreliable
	"Summit County, CO"	"08117"	12	31007	Unreliable
	"Teller County, CO"	"08119"	45	25083	179.4
	"Washington County, CO"	"08121"	14	4909	Unreliable
	"Weld County, CO"	"08123"	314	314305	99.9
	"Yuma County, CO"	"08125"	16	10020	Unreliable
	"Fairfield County, CT"	"09001"	1698	943823	179.9
	"Hartford County, CT"	"09003"	1835	892697	205.6
	"Litchfield County, CT"	"09005"	415	181111	229.1
	"Middlesex County, CT"	"09007"	383	162682	235.4
	"New Haven County, CT"	"09009"	1819	857620	212.1
	"New London County, CT"	"09011"	505	266784	189.3
	"Tolland County, CT"	"09013"	288	150921	190.8
	"Windham County, CT"	"09015"	262	117027	223.9
	"Kent County, DE"	"10001"	392	178550	219.5
	"New Castle County, DE"	"10003"	988	559335	176.6
	"Sussex County, DE"	"10005"	650	229286	283.5
	"District of Columbia, DC"	"11001"	1295	702455	184.4
	"Alachua County, FL"	"12001"	358	269956	132.6
	"Baker County, FL"	"12003"	63	28355	222.2
	"Bay County, FL"	"12005"	451	185287	243.4
	"Bradford County, FL"	"12007"	80	27732	288.5
	"Brevard County, FL"	"12009"	1761	596849	295.0
	"Broward County, FL"	"12011"	3600	1951260	184.5
	"Calhoun County, FL"	"12013"	44	14587	301.6
	"Charlotte County, FL"	"12015"	549	184998	296.8
	"Citrus County, FL"	"12017"	772	147929	521.9
	"Clay County, FL"	"12019"	345	216072	159.7
	"Collier County, FL"	"12021"	793	378488	209.5
	"Columbia County, FL"	"12023"	150	70503	212.8
	"DeSoto County, FL"	"12027"	70	37489	186.7
	"Dixie County, FL"	"12029"	51	16700	305.4
	"Duval County, FL"	"12031"	1676	950181	176.4
	"Escambia County, FL"	"12033"	689	315534	218.4
	"Flagler County, FL"	"12035"	326	112067	290.9
	"Franklin County, FL"	"12037"	27	11736	230.1
	"Gadsden County, FL"	"12039"	104	45894	226.6
	"Gilchrist County, FL"	"12041"	33	18256	180.8
	"Glades County, FL"	"12043"	34	13724	247.7
	"Gulf County, FL"	"12045"	43	16164	266.0
	"Hamilton County, FL"	"12047"	32	14310	223.6
	"Hardee County, FL"	"12049"	40	27245	146.8
	"Hendry County, FL"	"12051"	87	41556	209.4
	"Hernando County, FL"	"12053"	667	190865	349.5
	"Highlands County, FL"	"12055"	372	105424	352.9
	"Hillsborough County, FL"	"12057"	2626	1436888	182.8
	"Holmes County, FL"	"12059"	64	19477	328.6
	"Indian River County, FL"	"12061"	527	157413	334.8
	"Jackson County, FL"	"12063"	125	48305	258.8
	"Jefferson County, FL"	"12065"	35	14288	245.0
	"Lafayette County, FL"	"12067"	21	8732	240.5
	"Lake County, FL"	"12069"	1004	356495	281.6
	"Lee County, FL"	"12071"	1654	754610	219.2
	"Leon County, FL"	"12073"	396	292502	135.4
	"Levy County, FL"	"12075"	125	40770	306.6
	"Liberty County, FL"	"12077"	25	8457	295.6
	"Madison County, FL"	"12079"	65	18529	350.8
	"Manatee County, FL"	"12081"	1005	394855	254.5
	"Marion County, FL"	"12083"	1410	359977	391.7
	"Martin County, FL"	"12085"	429	160912	266.6
	"Miami-Dade County, FL"	"12086"	5165	2761581	187.0
	"Monroe County, FL"	"12087"	157	75027	209.3
	"Nassau County, FL"	"12089"	188	85832	219.0
	"Okaloosa County, FL"	"12091"	373	207269	180.0
	"Okeechobee County, FL"	"12093"	116	41537	279.3
	"Orange County, FL"	"12095"	1858	1380645	134.6
	"Osceola County, FL"	"12097"	547	367990	148.6
	"Palm Beach County, FL"	"12099"	3815	1485941	256.7
	"Pasco County, FL"	"12101"	1364	539630	252.8
	"Pinellas County, FL"	"12103"	2630	975280	269.7
	"Polk County, FL"	"12105"	1595	708009	225.3
	"Putnam County, FL"	"12107"	215	74163	289.9
	"St. Johns County, FL"	"12109"	384	254261	151.0
	"St. Lucie County, FL"	"12111"	786	321128	244.8
	"Santa Rosa County, FL"	"12113"	345	179349	192.4
	"Sarasota County, FL"	"12115"	1259	426718	295.0
	"Seminole County, FL"	"12117"	771	467832	164.8
	"Sumter County, FL"	"12119"	480	128754	372.8
	"Suwannee County, FL"	"12121"	120	44191	271.5
	"Taylor County, FL"	"12123"	65	21623	300.6
	"Union County, FL"	"12125"	49	14940	328.0
	"Volusia County, FL"	"12127"	1728	547538	315.6
	"Wakulla County, FL"	"12129"	61	32461	187.9
	"Walton County, FL"	"12131"	142	71375	198.9
	"Washington County, FL"	"12133"	86	24880	345.7
	"Appling County, GA"	"13001"	54	18507	291.8
	"Atkinson County, GA"	"13003"	21	8297	253.1
	"Bacon County, GA"	"13005"	35	11185	312.9
	"Baker County, GA"	"13007"	14	3092	Unreliable
	"Baldwin County, GA"	"13009"	161	44823	359.2
	"Banks County, GA"	"13011"	43	18988	226.5
	"Barrow County, GA"	"13013"	110	80809	136.1
	"Bartow County, GA"	"13015"	218	106408	204.9
	"Ben Hill County, GA"	"13017"	53	16787	315.7
	"Berrien County, GA"	"13019"	58	19252	301.3
	"Bibb County, GA"	"13021"	475	153095	310.3
	"Bleckley County, GA"	"13023"	31	12838	241.5
	"Brantley County, GA"	"13025"	55	18897	291.1
	"Brooks County, GA"	"13027"	35	15513	225.6
	"Bryan County, GA"	"13029"	65	38109	170.6
	"Bulloch County, GA"	"13031"	105	77296	135.8
	"Burke County, GA"	"13033"	57	22423	254.2
	"Butts County, GA"	"13035"	64	24193	264.5
	"Calhoun County, GA"	"13037"	20	6352	314.9
	"Camden County, GA"	"13039"	91	53677	169.5
	"Candler County, GA"	"13043"	33	10836	304.5
	"Carroll County, GA"	"13045"	244	118121	206.6
	"Catoosa County, GA"	"13047"	138	67420	204.7
	"Charlton County, GA"	"13049"	27	12968	208.2
	"Chatham County, GA"	"13051"	564	289195	195.0
	"Chattooga County, GA"	"13055"	81	24790	326.7
	"Cherokee County, GA"	"13057"	363	254149	142.8
	"Clarke County, GA"	"13059"	208	127330	163.4
	"Clay County, GA"	"13061"	12	2887	Unreliable
	"Clayton County, GA"	"13063"	376	289615	129.8
	"Clinch County, GA"	"13065"	20	6648	300.8
	"Cobb County, GA"	"13067"	881	756865	116.4
	"Coffee County, GA"	"13069"	99	43093	229.7
	"Colquitt County, GA"	"13071"	94	45592	206.2
	"Columbia County, GA"	"13073"	178	154291	115.4
	"Cook County, GA"	"13075"	49	17162	285.5
	"Coweta County, GA"	"13077"	250	145864	171.4
	"Crawford County, GA"	"13079"	34	12318	276.0
	"Crisp County, GA"	"13081"	67	22601	296.4
	"Dade County, GA"	"13083"	55	16226	339.0
	"Dawson County, GA"	"13085"	52	25083	207.3
	"Decatur County, GA"	"13087"	85	26575	319.8
	"DeKalb County, GA"	"13089"	910	756558	120.3
	"Dodge County, GA"	"13091"	45	20705	217.3
	"Dooly County, GA"	"13093"	27	13706	197.0
	"Dougherty County, GA"	"13095"	165	91243	180.8
	"Douglas County, GA"	"13097"	260	145331	178.9
	"Early County, GA"	"13099"	45	10247	439.2
	"Effingham County, GA"	"13103"	114	62190	183.3
	"Elbert County, GA"	"13105"	71	19120	371.3
	"Emanuel County, GA"	"13107"	69	22612	305.1
	"Evans County, GA"	"13109"	23	10721	214.5
	"Fannin County, GA"	"13111"	70	25964	269.6
	"Fayette County, GA"	"13113"	172	113459	151.6
	"Floyd County, GA"	"13115"	318	97927	324.7
	"Forsyth County, GA"	"13117"	243	236612	102.7
	"Franklin County, GA"	"13119"	93	23023	403.9
	"Fulton County, GA"	"13121"	1336	1050114	127.2
	"Gilmer County, GA"	"13123"	79	30816	256.4
	"Glynn County, GA"	"13127"	213	85219	249.9
	"Gordon County, GA"	"13129"	131	57685	227.1
	"Grady County, GA"	"13131"	69	24748	278.8
	"Greene County, GA"	"13133"	56	17698	316.4
	"Gwinnett County, GA"	"13135"	851	927781	91.7
	"Habersham County, GA"	"13137"	88	45388	193.9
	"Hall County, GA"	"13139"	327	202148	161.8
	"Hancock County, GA"	"13141"	19	8348	Unreliable
	"Haralson County, GA"	"13143"	93	29533	314.9
	"Harris County, GA"	"13145"	74	34475	214.6
	"Hart County, GA"	"13147"	70	26099	268.2
	"Heard County, GA"	"13149"	27	11879	227.3
	"Henry County, GA"	"13151"	358	230220	155.5
	"Houston County, GA"	"13153"	291	155469	187.2
	"Irwin County, GA"	"13155"	26	9398	276.7
	"Jackson County, GA"	"13157"	135	70422	191.7
	"Jasper County, GA"	"13159"	41	14040	292.0
	"Jeff Davis County, GA"	"13161"	40	15029	266.2
	"Jefferson County, GA"	"13163"	58	15430	375.9
	"Jenkins County, GA"	"13165"	24	8683	276.4
	"Johnson County, GA"	"13167"	23	9708	236.9
	"Jones County, GA"	"13169"	54	28616	188.7
	"Lamar County, GA"	"13171"	52	19000	273.7
	"Lanier County, GA"	"13173"	17	10340	Unreliable
	"Laurens County, GA"	"13175"	160	47325	338.1
	"Lee County, GA"	"13177"	46	29764	154.5
	"Liberty County, GA"	"13179"	81	61497	131.7
	"Lincoln County, GA"	"13181"	24	7915	303.2
	"Long County, GA"	"13183"	33	18998	173.7
	"Lowndes County, GA"	"13185"	222	116321	190.9
	"Lumpkin County, GA"	"13187"	73	32955	221.5
	"McDuffie County, GA"	"13189"	60	21531	278.7
	"McIntosh County, GA"	"13191"	33	14340	230.1
	"Macon County, GA"	"13193"	34	13143	258.7
	"Madison County, GA"	"13195"	74	29650	249.6
	"Marion County, GA"	"13197"	30	8351	359.2
	"Meriwether County, GA"	"13199"	79	21068	375.0
	"Miller County, GA"	"13201"	15	5686	Unreliable
	"Mitchell County, GA"	"13205"	51	22192	229.8
	"Monroe County, GA"	"13207"	72	27520	261.6
	"Montgomery County, GA"	"13209"	20	9193	217.6
	"Morgan County, GA"	"13211"	50	18853	265.2
	"Murray County, GA"	"13213"	90	39921	225.4
	"Muscogee County, GA"	"13215"	505	194160	260.1
	"Newton County, GA"	"13217"	187	109541	170.7
	"Oconee County, GA"	"13219"	54	39272	137.5
	"Oglethorpe County, GA"	"13221"	35	15054	232.5
	"Paulding County, GA"	"13223"	213	164044	129.8
	"Peach County, GA"	"13225"	78	27297	285.7
	"Pickens County, GA"	"13227"	87	31980	272.0
	"Pierce County, GA"	"13229"	57	19389	294.0
	"Pike County, GA"	"13231"	37	18634	198.6
	"Polk County, GA"	"13233"	136	42470	320.2
	"Pulaski County, GA"	"13235"	42	11069	379.4
	"Putnam County, GA"	"13237"	63	21809	288.9
	"Rabun County, GA"	"13241"	49	16867	290.5
	"Randolph County, GA"	"13243"	25	6833	365.9
	"Richmond County, GA"	"13245"	507	201554	251.5
	"Rockdale County, GA"	"13247"	156	90594	172.2
	"Screven County, GA"	"13251"	40	13938	287.0
	"Seminole County, GA"	"13253"	39	8315	469.0
	"Spalding County, GA"	"13255"	171	66100	258.7
	"Stephens County, GA"	"13257"	89	26035	341.8
	"Stewart County, GA"	"13259"	20	6199	322.6
	"Sumter County, GA"	"13261"	86	29733	289.2
	"Talbot County, GA"	"13263"	21	6272	334.8
	"Tattnall County, GA"	"13267"	67	25391	263.9
	"Taylor County, GA"	"13269"	28	8039	348.3
	"Telfair County, GA"	"13271"	26	15876	163.8
	"Terrell County, GA"	"13273"	23	8611	267.1
	"Thomas County, GA"	"13275"	125	44448	281.2
	"Tift County, GA"	"13277"	92	40571	226.8
	"Toombs County, GA"	"13279"	76	26887	282.7
	"Towns County, GA"	"13281"	46	11852	388.1
	"Treutlen County, GA"	"13283"	18	6809	Unreliable
	"Troup County, GA"	"13285"	210	70034	299.9
	"Turner County, GA"	"13287"	25	7912	316.0
	"Twiggs County, GA"	"13289"	39	8188	476.3
	"Union County, GA"	"13291"	82	24001	341.7
	"Upson County, GA"	"13293"	100	26215	381.5
	"Walker County, GA"	"13295"	262	69410	377.5
	"Walton County, GA"	"13297"	225	93503	240.6
	"Ware County, GA"	"13299"	129	35680	361.5
	"Warren County, GA"	"13301"	22	5251	419.0
	"Washington County, GA"	"13303"	46	20386	225.6
	"Wayne County, GA"	"13305"	61	29808	204.6
	"Wheeler County, GA"	"13309"	19	7879	Unreliable
	"White County, GA"	"13311"	70	29970	233.6
	"Whitfield County, GA"	"13313"	209	104062	200.8
	"Wilcox County, GA"	"13315"	20	8812	227.0
	"Wilkes County, GA"	"13317"	41	9876	415.1
	"Wilkinson County, GA"	"13319"	39	9036	431.6
	"Worth County, GA"	"13321"	49	20299	241.4
	"Hawaii County, HI"	"15001"	413	200983	205.5
	"Honolulu County, HI"	"15003"	1773	980080	180.9
	"Kauai County, HI"	"15007"	119	72133	165.0
	"Maui County, HI"	"15009"	265	167207	158.5
	"Ada County, ID"	"16001"	680	469966	144.7
	"Bannock County, ID"	"16005"	188	87138	215.7
	"Bear Lake County, ID"	"16007"	14	6050	Unreliable
	"Benewah County, ID"	"16009"	20	9226	216.8
	"Bingham County, ID"	"16011"	86	46236	186.0
	"Blaine County, ID"	"16013"	17	22601	Unreliable
	"Boise County, ID"	"16015"	11	7634	Unreliable
	"Bonner County, ID"	"16017"	76	44727	169.9
	"Bonneville County, ID"	"16019"	216	116854	184.8
	"Boundary County, ID"	"16021"	31	11948	259.5
	"Canyon County, ID"	"16027"	369	223499	165.1
	"Caribou County, ID"	"16029"	10	7060	Unreliable
	"Cassia County, ID"	"16031"	57	23864	238.9
	"Clearwater County, ID"	"16035"	19	8758	Unreliable
